name,pan,party,position,constituency,state,year,assets,liabilities,income,criminal_cases
Madan Dilawar,,BJP,MLA,Ramganj Mandi,Rajasthan,2018,29242628,2230078,960000,1
Madan Dilawar,,BJP,MLA,Ramganj Mandi,Rajasthan,2023,47424259,4144056,1200000,14
